2023-04-06 15:00:48,313 INFO    MainThread:30108 [wandb_setup.py:_flush():76] Configure stats pid to 30108
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_setup.py:_flush():76] Loading settings from C:\Users\rz200\.config\wandb\settings
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_setup.py:_flush():76] Loading settings from c:\Users\rz200\Documents\development\cellprobabilityUNet\cellmask_2ndstep\wandb\settings
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_init.py:_log_setup():506] Logging user logs to c:\Users\rz200\Documents\development\cellprobabilityUNet\cellmask_2ndstep\wandb\run-20230406_150048-5zm4d7k4\logs\debug.log
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_init.py:_log_setup():507] Logging internal logs to c:\Users\rz200\Documents\development\cellprobabilityUNet\cellmask_2ndstep\wandb\run-20230406_150048-5zm4d7k4\logs\debug-internal.log
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002889D55BD90>
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_init.py:init():546] calling init triggers
2023-04-06 15:00:48,314 INFO    MainThread:30108 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'dataset': 'cellpose trained', 'epochs': 10}
2023-04-06 15:00:48,315 INFO    MainThread:30108 [wandb_init.py:init():568] re-initializing run, found existing run on stack: pwk6py29
2023-04-06 15:00:48,316 INFO    MainThread:30108 [wandb_run.py:_finish():1854] finishing run rzuberi/cell-mask-U-Net/pwk6py29
2023-04-06 15:00:48,316 INFO    MainThread:30108 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-04-06 15:00:48,316 INFO    MainThread:30108 [wandb_run.py:_restore():2066] restore
2023-04-06 15:00:48,316 INFO    MainThread:30108 [wandb_run.py:_restore():2072] restore done
2023-04-06 15:00:51,792 INFO    MainThread:30108 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-04-06 15:00:51,792 INFO    MainThread:30108 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-04-06 15:00:51,794 INFO    MainThread:30108 [wandb_run.py:_footer_sync_info():3380] logging synced files
2023-04-06 15:00:51,799 INFO    MainThread:30108 [wandb_init.py:init():602] starting backend
2023-04-06 15:00:51,800 INFO    MainThread:30108 [wandb_init.py:init():606] setting up manager
2023-04-06 15:00:51,802 INFO    MainThread:30108 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-06 15:00:51,803 INFO    MainThread:30108 [wandb_init.py:init():613] backend started and connected
2023-04-06 15:00:51,804 INFO    MainThread:30108 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-04-06 15:00:51,804 INFO    MainThread:30108 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-06 15:00:51,804 INFO    MainThread:30108 [wandb_init.py:init():701] updated telemetry
2023-04-06 15:00:51,855 INFO    MainThread:30108 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-06 15:00:53,216 INFO    MainThread:30108 [wandb_run.py:_on_init():2133] communicating current version
2023-04-06 15:00:53,301 INFO    MainThread:30108 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-06 15:00:53,301 INFO    MainThread:30108 [wandb_init.py:init():789] starting run threads in backend
2023-04-06 15:00:53,447 INFO    MainThread:30108 [wandb_run.py:_console_start():2114] atexit reg
2023-04-06 15:00:53,447 INFO    MainThread:30108 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-06 15:00:53,447 INFO    MainThread:30108 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-06 15:00:53,447 INFO    MainThread:30108 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-06 15:00:53,447 INFO    MainThread:30108 [wandb_init.py:init():831] run started, returning control to user process
2023-04-06 15:00:53,561 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:00:53,561 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:01:21,855 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:01:21,959 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:01:21,959 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:07:21,860 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:07:21,861 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
